wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
2;dolnośląskie;220;trzebnicki;220042;gm.w Wisznia Mała;Wrocławski;10624;5799;5631;54,584;53,0026
30;wielkopolskie;3019;pilski;3019073;gm.m-w. Ujście;Pilski;7946;4361;4209;54,883;52,97
6;lubelskie;614;puławski;614011;Puławy;;46965;25671;24875;54,6599;52,965
24;śląskie;2414;bieruńsko-lędziński;2414021;Imielin;Katowicki;9269;5061;4909;54,6014;52,9615
26;świętokrzyskie;2602;jędrzejowski;2602063;gm.m-w. Sędziszów;Kielecki;12352;6736;6541;54,5337;52,955
30;wielkopolskie;3006;jarociński;3006023;gm.m-w. Jarocin;;45801;25046;24234;54,6844;52,9115
30;wielkopolskie;3030;wrzesiński;3030023;gm.m-w. Miłosław;Poznański;10144;5509;5365;54,308;52,8884
8;lubuskie;803;międzyrzecki;803023;gm.m-w. Międzyrzecz;Gorzowski;24657;13557;13038;54,9824;52,8775
24;śląskie;2402;bielski;2402062;gm.w Jaworze;Bielski;7443;4040;3934;54,2792;52,855
24;śląskie;2403;cieszyński;2403011;Cieszyn;;33981;18434;17959;54,248;52,8501
26;świętokrzyskie;2602;jędrzejowski;2602093;gm.m-w. Wodzisław;Kielecki;6893;3794;3641;55,0413;52,8217
12;małopolskie;1219;wielicki;1219053;gm.m-w. Wieliczka;;61233;33390;32338;54,5294;52,8114
30;wielkopolskie;3015;nowotomyski;3015043;gm.m-w. Nowy Tomyśl;Poznański;27194;14996;14360;55,1445;52,8058
12;małopolskie;1213;oświęcimski;1213093;gm.m-w. Zator;Bielski;9231;5049;4873;54,6961;52,7895
12;małopolskie;1208;miechowski;1208053;gm.m-w. Miechów;Kielecki;19494;10688;10286;54,8271;52,765
8;lubuskie;861;Gorzów Wielkopolski;861011;Gorzów Wielkopolski;;122589;67460;64682;55,0294;52,7633
4;kujawsko-pomorskie;417;wąbrzeski;417011;Wąbrzeźno;Toruński;13400;7309;7070;54,5448;52,7612
8;lubuskie;806;strzelecko-drezdenecki;806043;gm.m-w. Strzelce Krajeńskie;Gorzowski;16809;9071;8865;53,9651;52,7396
14;mazowieckie;1417;otwocki;1417082;gm.w Wiązowna;Warszawski;13330;7253;7029;54,4111;52,7307
30;wielkopolskie;3017;ostrowski;3017011;Ostrów Wielkopolski;;71560;38787;37704;54,2021;52,6887
12;małopolskie;1206;krakowski;1206042;gm.w Jerzmanowice-Przeginia;Krakowski;10955;5934;5769;54,167;52,6609
14;mazowieckie;1434;wołomiński;1434021;Marki;;36816;20083;19387;54,5497;52,6592
14;mazowieckie;1420;płoński;1420011;Płońsk;Ciechanowski;21924;11937;11543;54,4472;52,6501
32;zachodniopomorskie;3208;kołobrzeski;3208022;gm.w Dygowo;Koszaliński;5609;3051;2952;54,3947;52,6297
10;łódzkie;1021;brzeziński;1021052;gm.w Rogów;Skierniewicki;4656;2521;2450;54,1452;52,6203
8;lubuskie;802;krośnieński;802063;gm.m-w. Krosno Odrzańskie;Zielonogórski;17589;9547;9255;54,2782;52,6181
24;śląskie;2401;będziński;2401081;Sławków;Katowicki;6935;3801;3648;54,8089;52,6027
10;łódzkie;1062;Piotrków Trybunalski;1062011;Piotrków Trybunalski;;72250;39312;38001;54,4111;52,5965
30;wielkopolskie;3008;kępiński;3008033;gm.m-w. Kępno;Kaliski;24375;13146;12810;53,9323;52,5538
30;wielkopolskie;3025;średzki;3025052;gm.w Zaniemyśl;Poznański;6948;3769;3649;54,2458;52,5187
24;śląskie;2470;Mysłowice;2470011;Mysłowice;;74559;40239;39156;53,9693;52,5168
28;warmińsko-mazurskie;2812;nowomiejski;2812011;Nowe Miasto Lubawskie;Toruński;10709;5797;5624;54,132;52,5166
6;lubelskie;663;Lublin;663011;Lublin;;338586;183746;177809;54,2686;52,5152
4;kujawsko-pomorskie;401;aleksandrowski;401092;gm.w Zakrzewo;Włocławski;3480;1860;1827;53,4483;52,5
12;małopolskie;1213;oświęcimski;1213023;gm.m-w. Brzeszcze;Katowicki;21103;11407;11079;54,0539;52,4996
14;mazowieckie;1417;otwocki;1417032;gm.w Celestynów;Warszawski;11701;6374;6140;54,474;52,4741
14;mazowieckie;1432;warszawski zachodni;1432032;gm.w Kampinos;Warszawski;4348;2355;2281;54,1628;52,4609
2;dolnośląskie;203;głogowski;203011;Głogów;;66120;35735;34677;54,0457;52,4456
14;mazowieckie;1422;przasnyski;1422011;Przasnysz;Ostrołęcki;17055;9200;8939;53,9431;52,4128
14;mazowieckie;1412;miński;1412073;gm.m-w. Halinów;Warszawski;16438;8876;8612;53,9968;52,3908
4;kujawsko-pomorskie;413;sępoleński;413023;gm.m-w. Sępólno Krajeńskie;Bydgoski;15761;8441;8254;53,5562;52,3698
24;śląskie;2416;zawierciański;2416042;gm.w Kroczyce;Częstochowski;6239;3348;3267;53,6624;52,3642
32;zachodniopomorskie;3208;kołobrzeski;3208042;gm.w Kołobrzeg;Koszaliński;10964;5917;5738;53,9675;52,3349
4;kujawsko-pomorskie;462;Grudziądz;462011;Grudziądz;;93564;50552;48949;54,0293;52,3161
8;lubuskie;805;słubicki;805043;gm.m-w. Rzepin;Gorzowski;9678;5259;5061;54,3397;52,2939
30;wielkopolskie;3029;wolsztyński;3029033;gm.m-w. Wolsztyn;;30517;16455;15957;53,9208;52,2889
32;zachodniopomorskie;3214;stargardzki;3214011;Stargard;;67579;36454;35335;53,9428;52,287
28;warmińsko-mazurskie;2801;bartoszycki;2801021;Górowo Iławeckie;Olsztyński;3887;2148;2032;55,2611;52,2768
24;śląskie;2417;żywiecki;2417011;Żywiec;;30733;16646;16056;54,1633;52,2435
4;kujawsko-pomorskie;411;radziejowski;411053;gm.m-w. Piotrków Kujawski;Włocławski;9192;4976;4802;54,134;52,2411
32;zachodniopomorskie;3206;gryfiński;3206043;gm.m-w. Gryfino;;31626;17096;16519;54,0568;52,2323
10;łódzkie;1004;łęczycki;1004082;gm.w Witonia;Płocki;3201;1737;1671;54,2643;52,2024
14;mazowieckie;1403;garwoliński;1403021;Łaskarzew;Siedlecki;4809;2590;2510;53,8574;52,1938
12;małopolskie;1203;chrzanowski;1203013;gm.m-w. Alwernia;Krakowski;12490;6686;6519;53,5308;52,1938
8;lubuskie;809;zielonogórski;809092;gm.w Zabór;Zielonogórski;4409;2358;2301;53,4815;52,1887
14;mazowieckie;1401;białobrzeski;1401013;gm.m-w. Białobrzegi;Radomski;10236;5541;5341;54,1325;52,1786
12;małopolskie;1206;krakowski;1206063;gm.m-w. Krzeszowice;;32104;17216;16744;53,6257;52,1555
24;śląskie;2404;częstochowski;2404072;gm.w Konopiska;Częstochowski;10728;5770;5591;53,7845;52,116
10;łódzkie;1005;łowicki;1005102;gm.w Zduny;Skierniewicki;5672;3031;2956;53,4379;52,1157
2;dolnośląskie;207;kamiennogórski;207011;Kamienna Góra;Jeleniogórski;18585;9954;9681;53,5593;52,0904
24;śląskie;2416;zawierciański;2416063;gm.m-w. Ogrodzieniec;Katowicki;9018;4851;4697;53,7924;52,0847
14;mazowieckie;1414;nowodworski;1414063;gm.m-w. Zakroczym;Warszawski;5986;3241;3117;54,143;52,0715
2;dolnośląskie;220;trzebnicki;220033;gm.m-w. Trzebnica;Wrocławski;24442;13153;12727;53,8131;52,0702
2;dolnośląskie;210;lubański;210011;Lubań;Jeleniogórski;20723;11091;10788;53,5202;52,0581
32;zachodniopomorskie;3214;stargardzki;3214053;gm.m-w. Ińsko;Szczeciński;3318;1787;1727;53,8577;52,0494
12;małopolskie;1206;krakowski;1206022;gm.w Igołomia-Wawrzeńczyce;Krakowski;7728;4155;4021;53,7655;52,0316
8;lubuskie;808;świebodziński;808012;gm.w Lubrza;Zielonogórski;3602;1936;1874;53,7479;52,0267
32;zachodniopomorskie;3217;wałecki;3217011;Wałcz;Pilski;24949;13385;12976;53,6494;52,0101
28;warmińsko-mazurskie;2861;Elbląg;2861011;Elbląg;;118582;63587;61673;53,6228;52,0087
8;lubuskie;808;świebodziński;808053;gm.m-w. Świebodzin;Zielonogórski;29837;16045;15516;53,7755;52,0025
6;lubelskie;616;rycki;616011;Dęblin;Lubelski;15887;8527;8257;53,6728;51,9733
30;wielkopolskie;3022;rawicki;3022033;gm.m-w. Miejska Górka;Leszczyński;9233;4989;4798;54,0344;51,9658
28;warmińsko-mazurskie;2817;szczycieński;2817011;Szczytno;Olsztyński;22813;12270;11850;53,7851;51,9441
14;mazowieckie;1437;żuromiński;1437063;gm.m-w. Żuromin;Ciechanowski;14189;7590;7363;53,4921;51,8923
30;wielkopolskie;3014;międzychodzki;3014033;gm.m-w. Międzychód;Gorzowski;18309;9733;9498;53,1596;51,8761
